SCHOOL_YEAR,FIPST,STATENAME,ST,SCH_NAME,LEA_NAME,STATE_AGENCY_NO,UNION,ST_LEAID,LEAID,ST_SCHID,NCESSCH,SCHID,MSTREET1,MSTREET2,MSTREET3,MCITY,MSTATE,MZIP,MZIP4,LSTREET1,LSTREET2,LSTREET3,LCITY,LSTATE,LZIP,LZIP4,PHONE,WEBSITE,SY_STATUS,SY_STATUS_TEXT,UPDATED_STATUS,UPDATED_STATUS_TEXT,EFFECTIVE_DATE,SCH_TYPE_TEXT,SCH_TYPE,RECON_STATUS,OUT_OF_STATE_FLAG,CHARTER_TEXT,CHARTAUTH1,CHARTAUTHN1,CHARTAUTH2,CHARTAUTHN2,NOGRADES,G_PK_OFFERED,G_KG_OFFERED,G_1_OFFERED,G_2_OFFERED,G_3_OFFERED,G_4_OFFERED,G_5_OFFERED,G_6_OFFERED,G_7_OFFERED,G_8_OFFERED,G_9_OFFERED,G_10_OFFERED,G_11_OFFERED,G_12_OFFERED,G_13_OFFERED,G_UG_OFFERED,G_AE_OFFERED,GSLO,GSHI,LEVEL,IGOFFERED
2023-2024,35,NEW MEXICO,NM,MARIE M HUGHES ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-365,350006000683,3500683,5701 MOJAVE NW,,,ALBUQUERQUE,NM,87120,,5701 MOJAVE NW,,,ALBUQUERQUE,NM,87120,,(505)897-3080,http://mariehughes.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,MARYANN BINFORD ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-250,350006000692,3500692,1400 CORRIZ SW,,,ALBUQUERQUE,NM,87121,,1400 CORRIZ SW,,,ALBUQUERQUE,NM,87121,,(505)836-0623,http://maryannbinford.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,LA CUEVA HIGH,ALBUQUERQUE,01,,NM-001,3500060,NM-001-525,350006000698,3500698,7801 WILSHIRE NE,,,ALBUQUERQUE,NM,87122,,7801 WILSHIRE NE,,,ALBUQUERQUE,NM,87122,,(505)823-2327,http://lacueva.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,CONTINUATION SCHOOL,ALBUQUERQUE,01,,NM-001,3500060,NM-001-035,350006000709,3500709,5100 2ND ST NW,,,ALBUQUERQUE,NM,87106,,5100 2ND ST NW,,,ALBUQUERQUE,NM,87106,,(505)468-7284,http://jdc.aps.edu,1,Open,1,Open,05/08/2024,Special Education School,2,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported
2023-2024,35,NEW MEXICO,NM,SUSIE RAYOS MARMON ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-280,350006000725,3500725,1800 72ND ST NW,,,ALBUQUERQUE,NM,87120,,1800 72ND ST NW,,,ALBUQUERQUE,NM,87120,,(505)831-5400,http://srmarmon.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,GEORGIA O'KEEFFE ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-328,350006000726,3500726,11701 SAN VICTORIO NE,,,ALBUQUERQUE,NM,87111,,11701 SAN VICTORIO NE,,,ALBUQUERQUE,NM,87111,,(505)293-4259,http://georgiaokeeffe.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,DOUBLE EAGLE ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-350,350006000752,3500752,8901 LOWELL ST NE,,,ALBUQUERQUE,NM,87122,,8901 LOWELL ST NE,,,ALBUQUERQUE,NM,87122,,(505)857-0187,http://doubleeagle.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,DESERT RIDGE MIDDLE,ALBUQUERQUE,01,,NM-001,3500060,NM-001-430,350006000764,3500764,8400 BARSTOW NE,,,ALBUQUERQUE,NM,87122,,8400 BARSTOW NE,,,ALBUQUERQUE,NM,87122,,(505)857-9282,http://DESERTRIDGE.APS.EDU,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,PAINTED SKY ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-275,350006000782,3500782,8101 GAVIN DR NW,,,ALBUQUERQUE,NM,87120,,8101 GAVIN DR NW,,,ALBUQUERQUE,NM,87120,,(505)836-7763,http://paintedsky.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,EAST MOUNTAIN HIGH SCHOOL,ALBUQUERQUE,01,,NM-001,3500060,NM-001-024,350006000808,3500808,P.O. BOX 340,,,SANDIA PARK,NM,87047,,25 LA MADERA ROAD,,,SANDIA PARK,NM,87047,,(505)281-7400,http://eastmountainhigh.net,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,SOUTH VALLEY ACADEMY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-025,350006000809,3500809,3426 BLAKE ROAD SW,,,ALBUQUERQUE,NM,87105,,3426 BLAKE ROAD SW,,,ALBUQUERQUE,NM,87105,,(505)452-3132,http://southvalleyacademy.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2023-2024,35,NEW MEXICO,NM,JIMMY CARTER MIDDLE,ALBUQUERQUE,01,,NM-001,3500060,NM-001-445,350006000812,3500812,8901 BLUEWATER NW,,,ALBUQUERQUE,NM,87121,,8901 BLUEWATER NW,,,ALBUQUERQUE,NM,87121,,(505)833-7540,http://jimmycarter.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,MARK ARMIJO ACADEMY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-039,350006000821,3500821,6800 GONZALES RD SW,,,ALBUQUERQUE,NM,87121,,6800 GONZALES RD SW,,,ALBUQUERQUE,NM,87121,,(505)873-7758,http://markarmijo.com,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,PUBLIC ACADEMY FOR PERFORMING ARTS,ALBUQUERQUE,01,,NM-001,3500060,NM-001-047,350006000822,3500822,11800 PRINCESS JEANNE AVE. NE,,,ALBUQUERQUE,NM,87112,,11800 PRINCESS JEANNE AVE. NE,,,ALBUQUERQUE,NM,87112,,(505)830-3128,http://paparts.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2023-2024,35,NEW MEXICO,NM,ROBERT F. KENNEDY CHARTER,ALBUQUERQUE,01,,NM-001,3500060,NM-001-051,350006000823,3500823,4300 BLAKE RD SW,,,ALBUQUERQUE,NM,87121,,4300 BLAKE RD SW,,,ALBUQUERQUE,NM,87121,,(505)243-1118,http://rfkcharter.com,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2023-2024,35,NEW MEXICO,NM,SEVEN BAR ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-265,350006000824,3500824,4501 SEVEN BAR LOOP NW,,,ALBUQUERQUE,NM,87114,,4501 SEVEN BAR LOOP NW,,,ALBUQUERQUE,NM,87114,,(505)899-2797,http://7bar.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,JAMES MONROE MIDDLE,ALBUQUERQUE,01,,NM-001,3500060,NM-001-490,350006000825,3500825,6100 PARADISE BLVD NW,,,ALBUQUERQUE,NM,87114,,6100 PARADISE BLVD NW,,,ALBUQUERQUE,NM,87114,,(505)897-0101,http://jamesmonroe.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,LOS PUENTES CHARTER,ALBUQUERQUE,01,,NM-001,3500060,NM-001-017,350006000852,3500852,4012 4TH ST. NW,,,ALBUQUERQUE,NM,87107,,4012 4TH ST. NW,,,ALBUQUERQUE,NM,87107,,(505)342-5959,http://lospuentes.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,07,12,High,As reported
2023-2024,35,NEW MEXICO,NM,DIGITAL ARTS AND TECHNOLOGY ACADEMY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-063,350006000853,3500853,1011 LAMBERTON NE,,,ALBUQUERQUE,NM,87107,,1011 LAMBERTON NE,,,ALBUQUERQUE,NM,87107,,(505)341-0888,http://datacharter.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,07,12,High,As reported
2023-2024,35,NEW MEXICO,NM,EL CAMINO REAL ACADEMY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-069,350006000854,3500854,3713 ISLETA BLVD SW,,,ALBUQUERQUE,NM,87105,,3713 ISLETA BLVD SW,,,ALBUQUERQUE,NM,87105,,(505)314-2212,http://elcaminorealacademy.com,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported
2023-2024,35,NEW MEXICO,NM,VISION QUEST ALTERNATIVE MIDDLE,ALBUQUERQUE,01,,NM-001,3500060,NM-001-840,350006000856,3500856,5401 GLENRIO RD NW,,,ALBUQUERQUE,NM,87105,,5401 GLENRIO RD NW,,,ALBUQUERQUE,NM,87105,,(505)352-0343,http://visionquest.aps.edu,1,Open,1,Open,05/08/2024,Alternative School,4,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,LA ACADEMIA DE ESPERANZA,ALBUQUERQUE,01,,NM-001,3500060,NM-001-061,350006000875,3500875,1401 OLD COORS RD SW,,,ALBUQUERQUE,NM,87121,,1401 OLD COORS RD SW,,,ALBUQUERQUE,NM,87121,,(505)764-5500,http://ladecharter.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,06,12,High,As reported
2023-2024,35,NEW MEXICO,NM,GILBERT L SENA CHARTER HS,ALBUQUERQUE,01,,NM-001,3500060,NM-001-707,350006000890,3500890,69 HOTEL CIR NE,,,ALBUQUERQUE,NM,87123,,69 HOTEL CIR NE,,,ALBUQUERQUE,NM,87123,,(505)237-2374,http://www.senahigh.com,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,ABQ CHARTER ACADEMY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-090,350006000893,3500893,405 DR. MARTIN LUTHER KING JR. AVE. NE,,,ALBUQUERQUE,NM,87102,,405 DR. MARTIN LUTHER KING JR. AVE. NE,,,ALBUQUERQUE,NM,87102,,(505)242-6640,http://abqcharteracademy.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,MONTESSORI OF THE RIO GRANDE,ALBUQUERQUE,01,,NM-001,3500060,NM-001-095,350006000894,3500894,1650 GABALDON DR. N.W.,,,ALBUQUERQUE,NM,87104,,1650 GABALDON DR. N.W.,,,ALBUQUERQUE,NM,87104,,(505)842-5993,http://mrgcharter.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,MANZANO MESA ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-260,350006000895,3500895,801 ELIZABETH ST SE,,,ALBUQUERQUE,NM,87123,,801 ELIZABETH ST SE,,,ALBUQUERQUE,NM,87123,,(505)292-6707,http://manzanomesa.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,EDWARD GONZALES ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-262,350006000896,3500896,554 90TH ST SW,,,ALBUQUERQUE,NM,87121,,554 90TH ST SW,,,ALBUQUERQUE,NM,87121,,(505)831-6214,http://edwardgonzales.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,03,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,VENTANA RANCH ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-264,350006000897,3500897,6801 VENTANA VILLAGE RD NW,,,ALBUQUERQUE,NM,87114,,6801 VENTANA VILLAGE RD NW,,,ALBUQUERQUE,NM,87114,,(505)890-7375,http://ventanaranch.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,EARLY COLLEGE ACADEMY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-593,350006000916,3500916,807 MOUNTAIN RD NE,,,ALBUQUERQUE,NM,87102,,807 MOUNTAIN RD NE,,,ALBUQUERQUE,NM,87102,,(505)247-3658,http://cec.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,NATIVE AMERICAN COMMUNITY ACADEMY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-006,350006000918,3500918,1000 INDIAN SCHOOL RD,,,ALBUQUERQUE,NM,87104,,1000 INDIAN SCHOOL RD,,,ALBUQUERQUE,NM,87104,,(505)266-0992,http://nacaschool.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported
2023-2024,35,NEW MEXICO,NM,MOUNTAIN MAHOGANY COMMUNITY SCHOOL,ALBUQUERQUE,01,,NM-001,3500060,NM-001-098,350006000920,3500920,5014 4TH STREET NW,,,ALBUQUERQUE,NM,87107,,5014 4TH STREET NW,,,ALBUQUERQUE,NM,87107,,(505)341-1424,http://mountainmahogany.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,ALICE KING COMMUNITY SCHOOL,ALBUQUERQUE,01,,NM-001,3500060,NM-001-116,350006000924,3500924,8100 MOUNTAIN RD. NE,,,ALBUQUERQUE,NM,87110,,8100 MOUNTAIN RD. NE,,,ALBUQUERQUE,NM,87110,,(505)344-0746,http://akcs.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,CHRISTINE DUNCAN HERITAGE ACADEMY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-118,350006000925,3500925,1900 ATRISCO DR. NW,,,ALBUQUERQUE,NM,87120,,1900 ATRISCO DR. NW,,,ALBUQUERQUE,NM,87120,,(505)839-4971,http://www.christineduncan.org/,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,PK,08,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,NORTH STAR ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-268,350006000964,3500964,9301 VENTURA NE,,,ALBUQUERQUE,NM,87122,,9301 VENTURA NE,,,ALBUQUERQUE,NM,87122,,(505)856-6578,http://Northstar.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,VOLCANO VISTA HIGH,ALBUQUERQUE,01,,NM-001,3500060,NM-001-575,350006000966,3500966,8100 RAINBOW RD NW,,,ALBUQUERQUE,NM,87114,,8100 RAINBOW RD NW,,,ALBUQUERQUE,NM,87114,,(505)890-0343,http://volcanovista.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,TIERRA ANTIGUA ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-389,350006001018,3501018,8121 RAINBOW BLVD NW,,,ALBUQUERQUE,NM,87114,,8121 RAINBOW BLVD NW,,,ALBUQUERQUE,NM,87114,,(505)792-3262,http://tierraantigua.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,ALBUQUERQUE TALENT DEVELOPMENT CHARTER,ALBUQUERQUE,01,,NM-001,3500060,NM-001-016,350006001026,3501026,1800 ATRISCO RD NW,,,ALBUQUERQUE,NM,87120,,1800 ATRISCO RD NW,,,ALBUQUERQUE,NM,87120,,(505)503-2465,http://www.aps.edu/schools/schools/albuquerque-talent-development-secondary,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,CORRALES INTERNATIONAL,ALBUQUERQUE,01,,NM-001,3500060,NM-001-028,350006001028,3501028,5500 WILSHIRE AVE. NE,,,ALBUQUERQUE,NM,87113,,5500 WILSHIRE AVE. NE,,,ALBUQUERQUE,NM,87113,,(505)344-9733,http://corralesis.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,KG,12,Other,As reported
2023-2024,35,NEW MEXICO,NM,RUDOLFO ANAYA ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-392,350006001033,3501033,2800 VERMEJO PARK DR SW,,,ALBUQUERQUE,NM,87121,,2800 VERMEJO PARK DR SW,,,ALBUQUERQUE,NM,87121,,(505)452-3137,http://rudolfoanaya.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,PK,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,SUNSET VIEW ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-393,350006001036,3501036,6121 PARADISE BLVD NW,,,ALBUQUERQUE,NM,87114,,6121 PARADISE BLVD NW,,,ALBUQUERQUE,NM,87114,,(505)792-3254,http://sunsetview.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,ATRISCO HERITAGE ACADEMY HS,ALBUQUERQUE,01,,NM-001,3500060,NM-001-576,350006001037,3501037,10800 DENNIS CHAVEZ BLV SW,,,ALBUQUERQUE,NM,87121,,10800 DENNIS CHAVEZ BLV SW,,,ALBUQUERQUE,NM,87121,,(505)243-1458,http://aha.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,GORDON BERNELL CHARTER,ALBUQUERQUE,01,,NM-001,3500060,NM-001-030,350006001040,3501040,2821 4TH STREET NW,,,ALBUQUERQUE,NM,87107,,2821 4TH STREET NW,,,ALBUQUERQUE,NM,87107,,(505)468-7707,http://gordonbernell.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,HELEN CORDERO PRIMARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-395,350006001043,3501043,8800 EUCARIZ SW,,,ALBUQUERQUE,NM,87121,,8800 EUCARIZ SW,,,ALBUQUERQUE,NM,87121,,(505)833-5830,http://helencordero.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,PK,02,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,NEW AMERICA SCHOOL,ALBUQUERQUE,01,,NM-001,3500060,NM-001-708,350006001045,3501045,1734 ISLETA BLVD SW,,,ALBUQUERQUE,NM,87105,,1734 ISLETA BLVD SW,,,ALBUQUERQUE,NM,87105,,(505)222-4360,http://newamericaschoolnm.org/,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,09,12,High,As reported
2023-2024,35,NEW MEXICO,NM,TONY HILLERMAN MIDDLE SCHOOL,ALBUQUERQUE,01,,NM-001,3500060,NM-001-492,350006001047,3501047,8101 RAINBOW BLVD NW,,,ALBUQUERQUE,NM,87114,,8101 RAINBOW BLVD NW,,,ALBUQUERQUE,NM,87114,,(505)792-0698,http://tonyhillerman.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,06,08,Middle,As reported
2023-2024,35,NEW MEXICO,NM,CIEN AGUAS INTERNATIONAL,ALBUQUERQUE,01,,NM-001,3500060,NM-001-780,350006001050,3501050,2000 RANDOLPH RD. SE,,,ALBUQUERQUE,NM,87106,,2000 RANDOLPH RD. SE,,,ALBUQUERQUE,NM,87106,,(505)255-0001,http://cienaguas.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,KG,08,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,CORONADO ELEMENTARY,ALBUQUERQUE,01,,NM-001,3500060,NM-001-243,350006001054,3501054,601 4TH ST SW,,,ALBUQUERQUE,NM,87102,,601 4TH ST SW,,,ALBUQUERQUE,NM,87102,,(505)843-8283,http://coronado.aps.edu,1,Open,1,Open,05/08/2024,Regular School,1,No,No,No,,,,,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,KG,05,Elementary,As reported
2023-2024,35,NEW MEXICO,NM,THE INTERNATIONAL SCHOOL AT MESA DEL SOL,ALBUQUERQUE,01,,NM-001,3500060,NM-001-781,350006001056,3501056,2000 BOBBY FOSTER RD,,,ALBUQUERQUE,NM,87106,,2000 BOBBY FOSTER RD,,,ALBUQUERQUE,NM,87106,,(505)508-3295,http://tisnm.org,1,Open,1,Open,05/08/2024,Regular School,1,No,No,Yes,001,ALBUQUERQUE PUBLIC SCHOOLS,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,PK,12,Other,As reported
